Year;Population totale
1840;170500
1841;173190
1842;175981
1843;177943
1844;178207
1845;180574
1846;183431
1847;185023
1848;186053
1849;186856
1850;189965
1851;192488
1852;194769
1853;193156
1854;193117
1855;189212
1856;189562
1857;190379
1858;190237
1859;191581
1860;193822
1861;196198
1862;197910
1863;199733
1864;201894
1865;203050
1866;203697
1867;200263
1868;196855
1869;199991
1870;200659
1871;202214
1872;199994
1873;200172
1874;201363
1875;203679
1876;204599
1877;206047
1878;207439
1879;208735
1880;209342
1881;210589
1882;210959
1883;212378
1884;213464
1885;214572
1886;214595
1887;215764
1888;216235
1889;215028
1890;212834
1891;211505
1892;212594
1893;213275
1894;214397
1895;216060
1896;217910
1897;220582
1898;223692
1899;227205
1900;231567
1901;234905
1902;237219
1903;240275
1904;242408
1905;244631
1906;246411
1907;249073
1908;251709
1909;254415
1910;256927
1911;259211
1912;260754
1913;263069
1914;265495
1915;265800
1916;264795
1917;263487
1918;263276
1919;262078
1920;260969
1921;260646
1922;261236
1923;261792
1924;267299
1925;272037
1926;275675
1927;280834
1928;284879
1929;289666
1930;294723
1931;299774
1932;298827
1933;297463
1934;297513
1935;297243
1936;296906
1937;298071
1938;300730
1939;301365
1940;298952
1941;292991
1942;290225
1943;289051
1944;287891
1945;282993
1946;284463
1947;287151
1948;290991
1949;292612
1950;293822
1951;295327
1952;296457
1953;297965
1954;299523
1955;301445
1956;303586
1957;305221
1958;307724
1959;310361
1960;312641
1961;314894
1962;318796
1963;322696
1964;325499
1965;330001
1966;333001
1967;334795
1968;335233
1969;336499
1970;338499
1971;339796
1972;344946
1973;348141
1974;352639
1975;357339
1976;360441
1977;360889
1978;361689
1979;362294
1980;363447
1981;364843
1982;365592
1983;365439
1984;365535
1985;366135
1986;367182
1987;369481
1988;371707
1989;374870
1990;378408
1991;383513
1992;389600
1993;394750
1994;400200
1995;405650
1996;411610
1997;416860
1998;422060
1999;427360
2000;433610
2001;439010
2002;444060
2003;448310
2004;455010
2005;461210
2006;469110
2007;476210
2008;483822
2009;493523
2010;502089
2011;512052
2012;524664
2013;536850
2014;549491
